chrName	dataSize	dataBased	chrSize	chrBased
chr1	196742	0	248956422	1
chr2	171546	2	242193529	2
chr3	138739	3	198295559	3
chr4	109691	0	190214555	4
chr5	121847	1	181538259	0
chr6	131042	4	170805979	0
chr7	106753	-4	159345973	0
chr8	98705	0	145138636	0
chr9	91743	0	138394717	-1
chr10	101269	-1	133797422	-2
chr11	108603	-2	135086622	-3
chr12	103083	-3	133275309	-4
chr13	51722	3	114364328	3
chr14	67942	0	107043718	4
chr15	67088	0	101991189	0
chr16	64425	4	90338345	2
chr17	89625	1	83257441	1
chr18	46146	2	80373285	4
chr19	66934	4	58617616	0
chr20	62087	3	64444167	3
chr21	24705	2	50818468	2
chr22	35294	1	46709983	1
chrX	56586	0	156040895	0
chrY	246	0	57227415	0
